◆NURO光　東日本サービス提供エリア住所リスト,,,,,,,,,,
,,,,,,,要注意エリア1・・・完全にエリア外の住所　　　※住所＝都道府県＋住所１＋住所２＋住所３,,,
,,,,,,,要注意エリア2・・・住所が同一で一部サービス対象外エリアがあるもの（同一住所数のエリア内率：50%未満）,,,
,,,,,,,要注意エリア3・・・住所が同一で一部サービス対象外エリアがあるもの（同一住所数のエリア内率：50%以上）,,,
,,,,,●は異行政エリア,,,,,
都道府県,住所１,住所２,住所３,"NURO光
対象局舎","ひかりTV
対象局舎","でんき
対象住所",要注意エリア,備考,"開局
時期",コメント
千葉県,匝瑳市,飯倉,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,飯倉台,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,貝塚,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,高野,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,新,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,上谷中,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,高,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,田久保,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,椿,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,時曽根,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,富岡,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,中台,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,平木,,★,×,〇,要注意エリア3,同住所の一部のエリアはサービスエリア外,2021年第2期,
千葉県,匝瑳市,松山,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,みどり平,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,南神崎,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,宮本,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,山崎,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,八日市場イ,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,八日市場ニ,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,八日市場ハ,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,八日市場ホ,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,八日市場ロ,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,吉田,,★,×,〇,,,2021年第2期,
千葉県,匝瑳市,若潮町,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,飯塚,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,市ノ坪,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,江波,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,大野,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,男沼,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,上江袋,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,上須戸,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,上根,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,葛和田,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,善ケ島,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,田島,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,俵瀬,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,出来島,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,道ケ谷戸,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,永井太田,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,西城,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,西野,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,原井,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,日向,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,弁財,,★,×,〇,,,2021年第2期,
埼玉県,熊谷市,間々田,,★,×,〇,,,2021年第2期,
